Player,PrevADP,PrevFPoints,PrevFPPG,AgeAtDraft,2YRFPoints,2YRFPPG,2YRAvg
LeVeon Bell,1,259,17.3,25,242,20.2,250.5
Todd Gurley,2,319,21.3,23,155,9.7,237
David Johnson,3,7,14,26,328,20.5,167.5
Ezekiel Elliot,4,177,17.7,22,293,19.5,235
Saquon Barkley,6,150,10,21,150,10,150
Alvin Kamara,7,233,14.6,22,150,10,191.5
Kareem Hunt,11,242,15.1,22,150,10,196
Leonard Fournette,12,194,14.9,22,150,10,172
Dalvin Cook,13,54,13.5,22,150,10,102
Melvin Gordon,14,230,14.4,24,210,16.2,220
Devonta Freeman,17,164,11.7,25,232,14.5,198
Jordan Howard,19,177,11.1,23,201,13.4,189
Christian McCaffery,23,149,9.3,21,150,10,149.5
LeSean McCoy,36,205,12.8,29,248,16.5,226.5
Jerick McKinnon,37,127,7.9,25,107,7.1,117
Joe Mixon,38,111,7.9,21,150,10,130.5
Kenyan Drake,43,110,6.9,23,35,2.2,72.5
Royce Freeman,44,150,10,22,150,10,150
Derrius Guice,45,150,10,22,150,10,150
Ronald Jones,46,150,10,22,150,10,150
Alex Collins,47,148,9.9,23,25,2.3,86.5
Rashaad Penny,48,150,10,22,150,10,150
Derrick Henry,49,124,7.8,23,93,6.2,108.5
Jay Ajayi,50,111,7.9,24,188,12.5,149.5
Marshawn Lynch,55,144,9.6,31,0,0,72
Sony Michel,58,150,10,22,150,10,150
Isaiah Crowell,59,116,7.3,24,165,10.3,140.5
Lamar Miller,60,158,9.9,26,160,11.4,159
Tevin Coleman,61,141,9.4,24,160,12.3,150.5
Dion Lewis,80,165,10.3,27,38,5.4,101.5
Rex Burkhead,83,100,10,27,59,3.7,79.5
Kerryon Johnson,85,150,10,22,150,10,150
Carlos Hyde,86,175,10.9,27,165,12.7,170
Marlon Mack,87,82,5.9,21,150,10,116
Jamaal Williams,94,118,7.4,22,150,10,134
Duke Johnson,95,142,8.9,24,91,5.7,116.5
Tarik Cohen,96,91,5.7,22,150,10,120.5
Mark Ingram,97,220,13.8,28,198,12.4,209
Nick Chubb,98,150,10,22,150,10,150
Chris Thompson,100,112,11.2,27,101,6.3,106.5
Chris Carson,107,33,8.3,23,150,10,91.5
C.J. Anderson,108,147,9.2,26,87,12.4,117
Ty Montgomery,109,69,8.6,24,97,6.5,83
Giovani Bernard,112,109,6.8,26,83,8.3,96
Latavius Murray,113,143,8.9,27,175,12.5,159
Jordan Wilkins,114,150,10,22,150,10,150
James White,147,78,5.6,25,104,6.5,91
Theo Riddick,148,101,6.3,26,109,10.9,105
Devontae Booker,149,61,4.7,25,112,7,86.5