Player,PrevADP,PrevFPoints,PrevFPPG,AgeAtDraft,2YRFPoints,2YRFPPG,2YRAvg,FPoints,FPointsPerGame,NYADP,BarginVal
David Johnson,1,328,20.5,25,174,10.9,251,7,14,3,0.98
LeVeon Bell,2,242,20.2,24,87,14.5,164.5,259,17.3,1,63.3526
Ezekiel Elliot,3,293,19.5,21,150,10,221.5,177,17.7,4,54.2682
LeSean McCoy,8,248,16.5,28,147,12.3,197.5,205,12.8,36,74.24
Devonta Freeman,10,232,14.5,24,243,16.2,237.5,164,11.7,17,60.723
Melvin Gordon,11,210,16.2,23,75,5.4,142.5,230,14.4,14,109.7712
Jordan Howard,12,201,13.4,22,150,10,175.5,177,11.1,19,68.0652
DeMarco Murray,16,243,15.2,28,140,9.3,191.5,133,8.9,300,47.4192
Jay Ajayi,17,188,12.5,23,36,4,112,111,7.9,50,36.1267
Todd Gurley,19,155,9.7,22,189,14.5,172,319,21.3,2,296.2404
Leonard Fournette,21,150,10,21,150,10,150,194,14.9,12,132.3567
Lamar Miller,26,160,11.4,25,185,11.6,172.5,158,9.9,60,79.794
Isaiah Crowell,27,165,10.1,23,119,7.4,142,116,7.3,59,43.9533
Kareem Hunt,30,150,10,22,150,10,150,242,15.1,11,200.226
Marshawn Lynch,32,0,0,29,70,10,35,144,9.6,55,78.336
Carlos Hyde,33,165,12.7,26,70,10,117.5,175,10.9,86,109.7085
Dalvin Cook,38,150,10,21,150,10,150,54,13.5,13,45.144
Christian McCaffery,40,150,10,20,150,10,150,149,9.3,23,87.792
Ty Montgomery,42,97,6.5,23,27,4.5,62,69,8.6,109,38.2872
Joe Mixon,44,150,10,21,150,10,150,111,7.9,38,58.0492
Bilal Powell,51,139,8.7,28,88,8,113.5,122,8.1,193,70.6401
Frank Gore,52,176,11,33,159,9.9,167.5,145,9.1,202,95.1132
Mark Ingram,58,198,12.4,27,153,12.8,175.5,220,13.8,97,231.3156
Adrian Peterson,59,6,2,31,231,14.4,118.5,68,6.8,300,35.7068
Rob Kelley,62,150,10,22,150,10,150,39,5.6,300,17.36
Mike Gillislee,64,117,7.8,26,46,9.2,81.5,68,7.6,280,41.344
C.J. Anderson,65,87,12.4,25,116,7.7,101.5,147,9.2,108,108.836
Danny Woodhead,66,21,10.5,31,163,10,92,26,3.3,300,6.9696
Ameer Abdullah,67,22,11,23,92,5.8,57,99,7.1,300,57.5597
Paul Perkins,69,62,4.4,22,0,0,31,14,1.3,300,1.5249
Terrance West,76,137,8.6,25,21,2.3,79,28,5.6,265,13.6192
Eddie Lacy,77,39,7.8,26,121,8.1,80,23,2.6,300,5.2052
Tevin Coleman,79,160,12.3,23,41,3.4,100.5,141,9.4,61,118.0734
Doug Martin,84,72,9,27,199,12.4,135.5,67,6.1,151,37.4052
Theo Riddick,86,109,10.9,25,99,6.2,104,101,6.3,148,59.0562
LeGarrette Blount,87,226,14.1,30,117,9.8,171.5,100,6.3,153,58.6467
Jonathan Stewart,88,138,10.7,29,147,11.3,142.5,109,7.3,205,74.5184
Duke Johnson,91,91,5.7,23,103,6.4,97,142,8.9,95,120.6751
Matt Forte,95,154,11,31,173,13.3,163.5,83,6.9,300,55.7175
Thomas Rawls,100,63,7,23,121,9.3,92,23,1.9,300,4.37
James White,101,104,6.5,24,83,5.9,93.5,78,5.6,147,44.1168
Jacquizz Rodgers,108,78,7.8,26,5,1,41.5,38,2.4,300,9.5904
Derrick Henry,111,93,6.2,22,150,10,121.5,124,7.8,49,102.1644
C.J. Prosise,112,44,7.3,22,150,10,97,11,2.2,209,2.464
Giovani Bernard,114,83,8.3,25,132,8.3,107.5,109,6.8,112,79.0704
Darren Sproles,115,111,7.4,33,95,5.9,103,11,3.7,161,4.255
Rex Burkhead,118,59,3.7,26,14,0.9,36.5,100,10,83,108.56
Jeremy Hill,127,155,10.3,24,157,9.8,156,13,1.9,281,2.8956
Latavius Murray,142,175,12.4,26,164,10.3,169.5,143,8.9,113,151.656