Team,Wins,Losses,PythWins,PF,PA,2PA,2P%,3PA,3P%,o2P%,o3P%,PP100,oPP100,Age,DRate,ORate,Pace,eFG%,deFG%,NetRTG,PIE,AST/TO,TS%,PERAdd,PERLoss,oRPMAdd,dRPMadd,oRPMLoss,dRPMLoss,TankIncent,NumStar
Hawks,24,58,27,103.4,108.8,54.5,0.495,31,0.36,0.52,0.377,105,110.6,25.4,110.6,105,98.3,0.512,0.536,-5.4,46.9,1.53,54.7,27,17,-1.54,-0.16,0.84,-2.63,2,0
Celtics,55,27,51,104,100.4,54.7,0.491,30.4,0.377,0.488,0.339,107.6,103.9,24.7,103.9,107.6,96,0.518,0.495,3.6,51.9,1.6,55.2,25,10,3.14,-0.08,-0.5,-0.5,0,3
Nets,28,54,31,106.6,110.3,51.1,0.5,35.7,0.356,0.503,0.369,106.9,110.6,25.1,110.6,106.9,98.9,0.514,0.517,-3.7,47.4,1.56,55.1,15,20,-1.39,2.42,-1.54,-0.16,3,0
Hornets,36,46,42,108.2,108,59.4,0.487,27.2,0.369,0.516,0.375,109.4,109.1,26.6,109.1,109.4,98.4,0.508,0.532,0.2,50,1.7,54.9,12,17,-2.16,-1.49,-1.11,1.75,1,0
Bulls,27,55,23,102.9,110,57.8,0.478,31.1,0.355,0.534,0.37,103.7,110.8,24.4,110.8,103.7,98.3,0.497,0.542,-7.1,45.3,1.68,52.9,22,14,-1.18,-1.7,0.59,-1.23,3,0
Cavaliers,50,32,43,110.9,109.9,52.6,0.54,32.1,0.372,0.533,0.368,112.9,111.9,30.6,111.9,112.9,98,0.547,0.54,1,50.2,1.7,58.4,10,35,-0.5,-0.5,5.64,-0.68,1,1
Mavericks,24,58,33,102.3,105.4,53.1,0.496,32.8,0.36,0.526,0.363,106.3,109.5,27.7,109.5,106.3,95.6,0.513,0.532,-3.1,47.5,1.85,54.4,25,17,-0.75,1.32,-0.43,-1.76,1,0
Nuggets,46,36,45,110,108.5,55.7,0.525,30.9,0.371,0.525,0.378,112.5,110.9,25.1,110.9,112.5,96.8,0.536,0.539,1.5,51.1,1.68,57,20,14,-0.59,-3.64,-0.79,-0.35,0,1
Pistons,39,43,41,103.8,103.9,58,0.488,28.9,0.373,0.515,0.359,107.2,107.3,25.9,107.3,107.2,96.2,0.512,0.524,-0.1,48.9,1.7,54.3,10,7,-0.5,-0.5,-0.5,-0.5,2,1
Warriors,58,24,56,113.5,107.5,56.2,0.56,28.9,0.391,0.49,0.357,113.6,107.7,28.8,107.7,113.6,99.6,0.569,0.504,6,55.4,1.9,60.3,24,18,2.06,1.6,-0.5,-0.5,0,5
Rockets,65,17,61,112.4,103.9,41.9,0.558,42.3,0.362,0.519,0.351,114.7,106.1,29.8,106.1,114.7,97.6,0.551,0.521,8.5,53.1,1.56,59,22,22,-1.92,-0.16,0.51,1.15,0,2
Pacers,48,34,45,105.6,104.2,61.9,0.513,24.5,0.369,0.53,0.349,109.5,108.1,26.2,108.1,109.5,96,0.525,0.527,1.4,50.9,1.67,55.7,24,16,2.91,0.55,-0.32,-3.01,0,1
Clippers,42,40,41,109,109,58.6,0.525,26.8,0.354,0.512,0.356,110.3,110.2,27,110.2,110.3,98.7,0.527,0.52,0,49.7,1.52,56.4,15,15,-0.5,-0.5,-0.5,-0.5,2,0
Lakers,35,47,37,108.1,109.6,59.3,0.517,29.1,0.345,0.512,0.346,106.5,108,23.7,108,106.5,100.3,0.517,0.514,-1.5,49.1,1.51,54.8,41,30,5.64,-0.68,0.71,-0.13,1,1
Grizzlies,22,60,25,99.3,105.5,56.5,0.486,26.2,0.352,0.516,0.368,104.5,111,26,111,104.5,94.9,0.5,0.529,-6.2,46,1.44,53.9,15,22,-0.5,-0.5,2.91,0.55,2,2
Heat,44,38,42,103.4,102.9,54.8,0.508,30.6,0.36,0.491,0.36,106.8,106.3,26.5,106.3,106.8,95.6,0.52,0.507,0.5,50.5,1.58,55.1,0,0,-0.5,-0.5,-0.5,-0.5,2,0
Bucks,44,38,40,106.5,106.8,58.3,0.531,24.7,0.355,0.513,0.372,109.8,110.1,25.9,110.1,109.8,96.3,0.531,0.528,-0.3,50.2,1.68,57.1,15,13,0.62,0.3,-1.18,-1.7,0,1
Timberwolves,47,35,47,109.5,107.3,63.6,0.519,22.5,0.357,0.534,0.366,113.4,111.1,27.1,111.1,113.4,96,0.523,0.539,2.2,51.8,1.82,56.6,10,10,-0.5,-0.5,-0.5,-0.5,0,2
Pelicans,48,34,44,111.7,110.4,60.1,0.54,28.2,0.362,0.503,0.355,109.6,108.3,27.6,108.3,109.6,100.5,0.541,0.513,1.3,52.5,1.79,57.3,22,19,0.71,-0.13,2.06,1.6,0,1
Knicks,29,53,32,104.5,108,64.4,0.504,23.3,0.352,0.505,0.368,107.1,110.7,26.3,110.7,107.1,96.8,0.51,0.522,-3.5,48.1,1.58,54.4,15,24,-0.5,-0.5,-0.42,-1.04,2,1
Thunder,48,34,50,107.9,104.4,57.7,0.505,30.4,0.354,0.511,0.367,110.7,107.2,27.3,107.2,110.7,96.7,0.514,0.525,3.5,50.8,1.53,54.6,28,12,-2.35,-0.27,0.49,-1.25,0,2
Magic,25,57,28,103.4,108.2,56.5,0.504,29.3,0.351,0.516,0.362,105.2,110.1,25.6,110.1,105.2,98.1,0.512,0.525,-4.8,47.2,1.61,54.5,18,16,-0.5,-0.5,-0.5,-0.5,3,0
76ers,52,30,53,109.8,105.3,56.7,0.526,29.8,0.369,0.482,0.342,109.5,105,25.8,105,109.5,99.8,0.535,0.492,4.5,54.2,1.64,56.8,28,24,-0.79,-0.35,0.62,0.3,0,1
Suns,21,61,19,103.9,113.3,59.2,0.492,27.9,0.334,0.519,0.373,103.5,112.8,23.7,112.8,103.5,100.3,0.495,0.533,-9.4,44.2,1.35,53.2,23,18,0.51,1.15,-0.11,-1.95,3,0
Trail Blazers,49,33,48,105.6,103,58.8,0.493,28.1,0.366,0.484,0.364,109.1,106.4,25.6,106.4,109.1,96.5,0.511,0.503,2.6,51,1.44,54.9,18,15,-0.5,-0.5,-1.39,2.42,0,2
Kings,27,55,23,98.8,105.8,62.1,0.479,24,0.375,0.527,0.377,103.7,111.1,26.3,111.1,103.7,94.9,0.502,0.542,-7,45.1,1.57,52.9,25,12,-0.5,-0.5,-0.5,-0.5,0,0
Spurs,47,35,49,102.7,99.8,61.2,0.499,24.1,0.352,0.501,0.348,107.9,104.8,29.3,104.8,107.9,95,0.507,0.507,2.9,52.5,1.73,54.3,21,27,3.42,-1.76,3.83,1.7,0,2
Raptors,59,23,60,111.7,103.9,54.5,0.541,33,0.358,0.486,0.357,113.8,105.9,25.8,105.9,113.8,97.4,0.539,0.501,7.8,53.8,1.82,57.5,27,21,5.83,1.7,3.42,-1.76,0,2
Jazz,48,34,53,104.1,99.8,53.3,0.515,29.6,0.366,0.488,0.365,108.4,103.9,26.7,103.9,108.4,95.7,0.527,0.506,4.3,53.2,1.53,56.4,10,10,-0.5,-0.5,-0.5,-0.5,0,2
Wizards,43,39,43,106.6,106,59.1,0.508,26.5,0.375,0.522,0.349,109.3,108.7,26.9,108.7,109.3,96.6,0.525,0.522,0.6,50.9,1.73,56,23,18,-1.11,1.75,-0.5,-0.5,0,2