Name,Position,Height,Weight,Seasons-Col,Games-Col,Yards-Col,Carries-Col,Avg-Carry-Col,Avg-Game-Col,TDs-Col,Rec-Col,RecYards-Col,RecTDs-Col,40 yd dash,Vertical,DC Pos,DraftPos
Leonard Fournette,RB,72,240,3,32,3830,616,6.2,119.7,40,41,526,1,4.51,28.5,1,4
Christian McCaffery,RB,71,202,3,37,3922,632,6.2,106,21,99,1206,10,4.48,37.5,1.5,8
Joe Mixon,RB,73,228,2,25,2027,300,6.8,81.1,17,65,894,9,4.5,35,2.5,48
Dalvin Cook,RB,70,210,3,38,4464,687,6.5,117.5,46,79,935,2,4.49,30.5,1.5,41
Alvin Kamara,RB,70,214,2,24,1294,210,6.2,53.9,16,74,683,7,4.56,39.5,2,67
Kareem Hunt,RB,70,216,4,44,4945,782,6.3,112.4,44,73,555,1,4.62,36.5,2,86
D'Onta Foreman,RB,72,233,3,27,2774,431,6.4,102.7,20,13,146,0,4.45,33,2.5,89
James Conner,RB,73,233,4,39,3733,668,5.6,95.7,52,30,412,4,4.65,29,2,105
Samaje Perine,RB,71,233,3,36,4122,685,6,114.5,49,40,321,2,4.65,33,2.5,114
Joe Williams,RB,71,210,2,19,1884,314,6,99.2,13,20,191,0,4.41,35,3.5,121
Jamaal Williams,RB,72,212,4,43,3901,726,5.4,90.7,35,60,567,1,4.59,30,2.5,134
Wayne Gallman,RB,72,215,3,32,3416,675,5.1,106.8,34,66,486,2,4.6,29.5,3,140
Marlon Mack,RB,71,213,3,36,3609,586,6.2,100.3,32,65,498,1,4.5,35.5,2,143
Brian Hill,RB,73,219,3,37,4287,775,5.5,115.9,35,41,403,0,4.54,34,3.5,156
Jeremy McNichols,RB,69,214,3,34,3205,571,5.6,94.3,44,103,1089,11,4.49,35.5,3.5,162
T.J. Logan,RB,69,196,4,49,2165,398,5.4,44.2,19,76,663,4,4.37,33.5,3,179
Aaron Jones,RB,69,208,5,35,4114,658,6.3,117.5,33,71,646,7,4.56,37.5,2.5,182
Elijah McGuire,RB,70,214,4,51,4301,710,6.1,84.3,42,130,1394,10,4.53,36,3,188
Elijah Hood,RB,72,232,3,33,2580,430,6,78.2,29,40,211,0,4.55,34.5,3.5,242